Stadt,Bezirk,Bundesland,Einwohner
Oberndorf bei Salzburg,Salzburg-Umgebung,Salzburg,5850
Oberpullendorf,Oberpullendorf,Burgenland,3265
Oberwart,Oberwart,Burgenland,7662
Oberwölz,Murau,Steiermark,2950
Perg,Perg,Oberösterreich,8802
Peuerbach,Grieskirchen,Oberösterreich,4661
Pinkafeld,Oberwart,Burgenland,5882
Pöchlarn,Melk,Niederösterreich,3944
Poysdorf,Mistelbach,Niederösterreich,5500
Pregarten,Freistadt,Oberösterreich,5546
Pressbaum,St. Pölten,Niederösterreich,7762
Pulkau,Hollabrunn,Niederösterreich,1506
Purbach am Neusiedler See,Eisenstadt-Umgebung,Burgenland,2899
Purkersdorf,St. Pölten,Niederösterreich,9890
Raabs an der Thaya,Waidhofen an der Thaya,Niederösterreich,2631
Radenthein,Spittal an der Drau,Kärnten,5769
Radstadt,St. Johann im Pongau,Salzburg,4878
Rattenberg,Kufstein,Tirol,448
Retz,Hollabrunn,Niederösterreich,4240
Ried im Innkreis,Ried im Innkreis,Oberösterreich,12209
Rohrbach-Berg,Rohrbach,Oberösterreich,5182
Rottenmann,Liezen,Steiermark,5111
Rust,1,Burgenland,2000
Saalfelden am Steinernen Meer,Zell am See,Salzburg,16790
Salzburg,1,Salzburg,155416
Sankt Andrä,Wolfsberg,Kärnten,9850
St. Johann im Pongau,St. Johann im Pongau,Salzburg,11331
St. Pölten,1,Niederösterreich,55878
St. Valentin,Amstetten,Niederösterreich,9320
Sankt Veit an der Glan,St. Veit an der Glan,Kärnten,12184
Schärding,Schärding,Oberösterreich,5216
Scheibbs,Scheibbs,Niederösterreich,4122
Schladming,Liezen (Expositur Gröbming),Steiermark,6576
Schrattenthal,Hollabrunn,Niederösterreich,894
Schrems,Gmünd,Niederösterreich,5356
Schwanenstadt,Vöcklabruck,Oberösterreich,4494
Schwaz,Schwaz,Tirol,13810
Schwechat,Bruck an der Leitha,Niederösterreich,20375
Seekirchen am Wallersee,Salzburg-Umgebung,Salzburg,11001
Spielberg,Murtal,Steiermark,5361
Spittal an der Drau,Spittal an der Drau,Kärnten,15151
Stadtschlaining,Oberwart,Burgenland,2004
Steyr,1,Oberösterreich,37952
Steyregg,Urfahr-Umgebung,Oberösterreich,4934
Stockerau,Korneuburg,Niederösterreich,16789
Straßburg,St. Veit an der Glan,Kärnten,1991
Ternitz,Neunkirchen,Niederösterreich,14640
Traiskirchen,Baden,Niederösterreich,18774
Traismauer,St. Pölten,Niederösterreich,6391
Traun,Linz-Land,Oberösterreich,24828
Trieben,Liezen,Steiermark,3329
Trofaiach,Leoben,Steiermark,10994
Tulln an der Donau,Tulln,Niederösterreich,16380
Villach,1,Kärnten,63236
Vils,Reutte,Tirol,1483
Vöcklabruck,Vöcklabruck,Oberösterreich,12445
Voitsberg,Voitsberg,Steiermark,9391
Völkermarkt,Völkermarkt,Kärnten,10866
Waidhofen an der Thaya,Waidhofen an der Thaya,Niederösterreich,5289
Waidhofen an der Ybbs,1,Niederösterreich,11134
Weitra,Gmünd,Niederösterreich,2629
Weiz,Weiz,Steiermark,11756
Wels,1,Oberösterreich,62654
Wien,1,Wien,1920949
Wiener Neustadt,1,Niederösterreich,46456
Wieselburg,Scheibbs,Niederösterreich,4408
Wilhelmsburg,St. Pölten,Niederösterreich,6577
Wolfsberg,Wolfsberg,Kärnten,25031
Wolkersdorf im Weinviertel,Mistelbach,Niederösterreich,7342
Wörgl,Kufstein,Tirol,14179
Ybbs an der Donau,Melk,Niederösterreich,5565
Zell am See,Zell am See,Salzburg,10131
Zeltweg,Murtal,Steiermark,7039
Zistersdorf,Gänserndorf,Niederösterreich,5356
Zwettl,Zwettl,Niederösterreich,10723
